epoch,accuracy,loss,val_accuracy,val_loss
0,0.8333333134651184,0.5021867752075195,0.5555555820465088,1.7943825721740723
1,0.8717948794364929,0.41499093174934387,0.5555555820465088,1.6366591453552246
2,0.8846153616905212,0.3310660123825073,0.5555555820465088,1.5323069095611572
3,0.8333333134651184,0.4836500585079193,0.5555555820465088,1.3590316772460938
4,0.9102563858032227,0.25898095965385437,0.6111111044883728,1.6152667999267578
5,0.8589743375778198,0.3424922823905945,0.5555555820465088,1.6849665641784668
6,0.8846153616905212,0.3523367941379547,0.5555555820465088,1.8136045932769775
7,0.9102563858032227,0.22422516345977783,0.6111111044883728,1.6240448951721191
8,0.9230769276618958,0.12088523805141449,0.5555555820465088,1.2568702697753906
9,0.8589743375778198,0.27930158376693726,0.5555555820465088,1.3385053873062134
10,0.9487179517745972,0.11368394643068314,0.5555555820465088,1.4748022556304932
11,0.9102563858032227,0.19228306412696838,0.5,1.4672620296478271
12,0.9358974099159241,0.2091454416513443,0.5,1.476320743560791
