epoch,accuracy,loss,val_accuracy,val_loss
0,0.8852459192276001,0.3109706938266754,0.9333333373069763,0.23297932744026184
1,0.8852459192276001,0.3594699203968048,0.9111111164093018,0.24804437160491943
2,0.8524590134620667,0.4396321773529053,0.9111111164093018,0.22893884778022766
3,0.868852436542511,0.31705743074417114,0.9333333373069763,0.21816274523735046
4,0.8907103538513184,0.2654339671134949,0.9333333373069763,0.25819358229637146
5,0.8961748480796814,0.28972911834716797,0.9111111164093018,0.2384604960680008
6,0.9016393423080444,0.23402592539787292,0.9555555582046509,0.16732552647590637
7,0.8524590134620667,0.33584511280059814,0.9555555582046509,0.1507929414510727
8,0.9289617538452148,0.1974731683731079,0.9555555582046509,0.19669844210147858
9,0.9508196711540222,0.14916735887527466,0.9111111164093018,0.2413928210735321
10,0.9180327653884888,0.21117503941059113,0.9111111164093018,0.2632802426815033
11,0.9289617538452148,0.1842869222164154,0.9111111164093018,0.18783921003341675
12,0.9180327653884888,0.14816240966320038,0.9333333373069763,0.18611733615398407
13,0.9508196711540222,0.11490066349506378,0.8888888955116272,0.2380586415529251
14,0.9180327653884888,0.19398735463619232,0.9333333373069763,0.22033877670764923
