epoch,accuracy,loss,val_accuracy,val_loss
0,0.8461538553237915,0.3878122866153717,0.6666666865348816,0.8280317783355713
1,0.8717948794364929,0.2764020264148712,0.6666666865348816,0.8101943135261536
2,0.8846153616905212,0.3268950581550598,0.6111111044883728,1.0310173034667969
3,0.8717948794364929,0.3047151267528534,0.6666666865348816,0.7428619265556335
4,0.9102563858032227,0.2654058635234833,0.8333333134651184,0.7222158908843994
5,0.8717948794364929,0.27480968832969666,0.7222222089767456,0.6774855256080627
6,0.9230769276618958,0.17296011745929718,0.7222222089767456,0.6419789791107178
7,0.8717948794364929,0.24782279133796692,0.7777777910232544,0.614729106426239
8,0.9230769276618958,0.19987113773822784,0.7222222089767456,0.6631514430046082
9,0.9102563858032227,0.18754835426807404,0.7777777910232544,0.8729891777038574
10,0.8717948794364929,0.37460875511169434,0.6111111044883728,1.0119482278823853
11,0.9102563858032227,0.16935931146144867,0.6666666865348816,0.7358137965202332
12,0.9102563858032227,0.22815586626529694,0.6111111044883728,0.5454787015914917
