epoch,accuracy,loss,val_accuracy,val_loss
0,0.6461538672447205,0.9140218496322632,0.6000000238418579,1.0996451377868652
1,0.6615384817123413,0.8824130296707153,0.5666666626930237,1.0277515649795532
2,0.7153846025466919,0.7057979702949524,0.6333333253860474,1.0015583038330078
3,0.6846153736114502,0.8075490593910217,0.5666666626930237,0.9785844683647156
4,0.7153846025466919,0.7675037384033203,0.6333333253860474,0.9636215567588806
5,0.7692307829856873,0.6161212921142578,0.6666666865348816,1.0926040410995483
6,0.7230769395828247,0.7863423824310303,0.6666666865348816,1.0249357223510742
7,0.7692307829856873,0.6450948715209961,0.6333333253860474,0.9412426352500916
8,0.7769230604171753,0.6564124822616577,0.6333333253860474,0.9917071461677551
9,0.7692307829856873,0.636674702167511,0.6000000238418579,1.1080886125564575
10,0.7153846025466919,0.6639434099197388,0.6666666865348816,1.0590808391571045
11,0.8230769038200378,0.5178669691085815,0.6333333253860474,1.1082545518875122
12,0.7615384459495544,0.6115773320198059,0.6333333253860474,1.0924293994903564
13,0.7615384459495544,0.6611025333404541,0.6666666865348816,1.0244613885879517
