epoch,accuracy,loss,val_accuracy,val_loss
0,0.7354838848114014,0.7234465479850769,0.6944444179534912,0.7558064460754395
1,0.7483870983123779,0.6230294704437256,0.7222222089767456,0.6483023762702942
2,0.774193525314331,0.6661360263824463,0.7777777910232544,0.7184239625930786
3,0.7870967984199524,0.548035204410553,0.75,0.5928174257278442
4,0.8064516186714172,0.4440000355243683,0.7222222089767456,0.53982013463974
5,0.8645161390304565,0.4360462725162506,0.6944444179534912,0.5911110043525696
6,0.8129032254219055,0.46883952617645264,0.8055555820465088,0.497311532497406
7,0.8580645322799683,0.38904041051864624,0.7222222089767456,0.6702337265014648
8,0.8451613187789917,0.3842492997646332,0.7777777910232544,0.5008531808853149
9,0.8709677457809448,0.3481038510799408,0.8055555820465088,0.42799174785614014
10,0.896774172782898,0.2789503335952759,0.7777777910232544,0.4612312316894531
11,0.896774172782898,0.24423520267009735,0.7777777910232544,0.47744056582450867
12,0.9290322661399841,0.21671858429908752,0.8055555820465088,0.5749034285545349
13,0.9161290526390076,0.21110810339450836,0.8333333134651184,0.4464816451072693
14,0.9032257795333862,0.26756200194358826,0.7222222089767456,0.5220863223075867
15,0.9032257795333862,0.2876765727996826,0.7777777910232544,0.51519775390625
16,0.9096774458885193,0.25388792157173157,0.6944444179534912,0.6734598875045776
17,0.8838709592819214,0.30693554878234863,0.8055555820465088,0.4644373655319214
18,0.9161290526390076,0.22215187549591064,0.7777777910232544,0.5031998157501221
19,0.9290322661399841,0.22550855576992035,0.8611111044883728,0.4179307520389557
