epoch,accuracy,loss,val_accuracy,val_loss
0,0.8717948794364929,0.4868283271789551,0.6666666865348816,0.9436283111572266
1,0.8717948794364929,0.30635762214660645,0.6666666865348816,1.0437930822372437
2,0.8846153616905212,0.3154793083667755,0.6111111044883728,1.4012963771820068
3,0.8974359035491943,0.23448647558689117,0.6111111044883728,1.2237648963928223
4,0.9102563858032227,0.24787136912345886,0.6666666865348816,0.712533175945282
5,0.9487179517745972,0.22599318623542786,0.6111111044883728,1.1684366464614868
6,0.9230769276618958,0.16796915233135223,0.6111111044883728,1.1050076484680176
7,0.9102563858032227,0.16932059824466705,0.7222222089767456,0.956010103225708
8,0.9358974099159241,0.16518165171146393,0.6111111044883728,1.1593321561813354
9,0.9230769276618958,0.2532629370689392,0.6111111044883728,0.8968315124511719
10,0.9487179517745972,0.1800527274608612,0.6666666865348816,0.8498299717903137
11,0.8974359035491943,0.2185727208852768,0.5555555820465088,1.0378187894821167
12,0.8846153616905212,0.23388244211673737,0.7222222089767456,1.0262303352355957
13,0.8846153616905212,0.25941094756126404,0.6666666865348816,1.1759628057479858
14,0.8974359035491943,0.15805275738239288,0.6666666865348816,1.3117467164993286
15,0.9230769276618958,0.1753019243478775,0.5555555820465088,1.354369044303894
