epoch,accuracy,loss,val_accuracy,val_loss
0,0.791946291923523,0.6466795802116394,0.8055555820465088,0.5857523083686829
1,0.8053691387176514,0.5414724349975586,0.6944444179534912,0.7436294555664062
2,0.7885906100273132,0.5687606334686279,0.7638888955116272,0.620779812335968
3,0.8758389353752136,0.41476935148239136,0.75,0.6490493416786194
4,0.8288590312004089,0.4898031949996948,0.7916666865348816,0.6548581719398499
5,0.8489933013916016,0.4230841100215912,0.7638888955116272,0.7055782675743103
6,0.8691275119781494,0.3725239932537079,0.8333333134651184,0.5827202796936035
7,0.8288590312004089,0.44496583938598633,0.7916666865348816,0.5925915837287903
8,0.8456375598907471,0.4147561192512512,0.7361111044883728,0.6652848124504089
9,0.8456375598907471,0.4281025230884552,0.7777777910232544,0.5990993976593018
10,0.8523489832878113,0.3880108594894409,0.7777777910232544,0.6536341905593872
11,0.8657718300819397,0.42294061183929443,0.7361111044883728,0.7819823026657104
12,0.8322147727012634,0.43012535572052,0.8055555820465088,0.5884163975715637
13,0.8322147727012634,0.43703609704971313,0.7638888955116272,0.7757178544998169
14,0.8624160885810852,0.40705135464668274,0.75,0.8378100395202637
