epoch,accuracy,loss,val_accuracy,val_loss
0,0.7909482717514038,0.5722916722297668,0.5565217137336731,1.4014755487442017
1,0.818965494632721,0.4958726763725281,0.573913037776947,1.2962102890014648
2,0.8405172228813171,0.4217716455459595,0.582608699798584,1.262251853942871
3,0.829741358757019,0.41573819518089294,0.5478261113166809,1.3564138412475586
4,0.8275862336158752,0.4194539785385132,0.582608699798584,1.4587492942810059
5,0.8706896305084229,0.3247041404247284,0.5478261113166809,1.4362367391586304
6,0.8771551847457886,0.3109307587146759,0.5652173757553101,1.5443053245544434
7,0.8620689511299133,0.312081903219223,0.573913037776947,1.5111850500106812
8,0.8706896305084229,0.30183345079421997,0.591304361820221,1.5487874746322632
9,0.8728448152542114,0.28022584319114685,0.573913037776947,1.5710421800613403
10,0.9008620977401733,0.2344551980495453,0.591304361820221,1.4002693891525269
11,0.8728448152542114,0.3309291899204254,0.582608699798584,1.5023484230041504
12,0.9094827771186829,0.2493702620267868,0.634782612323761,1.477442741394043
13,0.8728448152542114,0.3190171420574188,0.6086956262588501,1.6859649419784546
14,0.8857758641242981,0.27918457984924316,0.573913037776947,1.57736337184906
15,0.8879310488700867,0.2772727608680725,0.573913037776947,1.4968833923339844
16,0.881465494632721,0.271597295999527,0.6173912882804871,1.5202198028564453
17,0.8857758641242981,0.2897590398788452,0.573913037776947,1.6628700494766235
18,0.881465494632721,0.31224632263183594,0.634782612323761,1.3813847303390503
19,0.875,0.3179752230644226,0.591304361820221,1.5883033275604248
20,0.8879310488700867,0.2901255190372467,0.634782612323761,1.4957168102264404
